contract addresses and deployment tx hashes:
mnist deployed at addr=0x0178c7a96f9f34f15f13e5ce2c8fce281c7cfc4d9dc0ad2cbd0679301c983729 with tx_hash=0x1a8ddb7ece92371704f3c0fd1499350a43772c7567ba60bf80cb0912f184567
mnist_v1 deployed at addr=0x029ad007f5be0797dce71d4992cd1ba248ae539d7f72ed231971174cc5c9db90 with tx_hash=0x24e6405fc6719b2a3aa6f678453b791c7874527a0bdd94ff27c67a0fead026a
mnist_h1 deployed at addr=0x017e48fe49d882e8e5e9655c951773e2aec94861339a24565d2de0876d1d18ce with tx_hash=0x466cc486f5fa1891cdee184b195f199ffb52bd23666ad1bf97521bba813e571
mnist_z deployed at addr=0x04620846d64274c3ea05839ac855c97803fe0dad7e1cc594346f971f96b766af with tx_hash=0x626c2f55896e1d42f88bc8d33c6df384fc6e1856ff8daa80769f65916f7f648
mnist_v1_sop0 deployed at addr=0x00b9ece0b7088fdd1931c6f97f2fded652345553f2428b5b43dec866d295fe2e with tx_hash=0x6d14b86a89ad923bf81c8d7548b1bacf2ed0db09f41ec92f6a7b38e3dc2495a
mnist_v1_sop0_subsop0 deployed at addr=0x05ae430d5c395311f55fb0ca394c18debede49f0f08ffe053ca46516d5d1ac14 with tx_hash=0x43fc5b6ff5ab04ecda2b874705f7b65ff9f066407f6b8fbb7f7083b5618fd63
mnist_v1_sop0_subsop1 deployed at addr=0x002feec2c5f26d004404c100adbe5841af99f7b827e27b6babb2586ba598580e with tx_hash=0x60fa19eba25043d4ef9d5ad5307c43679081b320612c2fce30043d303a2f700
mnist_v1_sop0_subsop2 deployed at addr=0x038f5e842b8b27dc67273f7d22b2a40160b62b02106520ee6b6b8ec95282bb1b with tx_hash=0x7c5c8c1a20b2dac5ac0ff601ab79d84666714332dbcecafe657752acad85841
mnist_v1_sop0_subsop3 deployed at addr=0x077cdd4c005f9069c825de3330c9cff933f09cf108b2a31447e928477e233082 with tx_hash=0xe4a6418206c0796ed2c755eb4c6a156fdd5845225569ed6ebdc46bf2883a0f
mnist_v1_sop0_subsop4 deployed at addr=0x0459aa233d4a11b44cb5894d25e07c3ef51c4c2f4777ee578c0f6c35ffc76b9b with tx_hash=0x3634670279d17fa4036b007b7be1ca782093e88bc8579a798b95ab4be519c46
mnist_v1_sop0_subsop5 deployed at addr=0x06911bb8313131f9730c07539371fa5be64461025be810690b18c5bf7b5ab138 with tx_hash=0x3f233b8c539418a14dce01040d0e74a3112f59c81943ee1f2dcc548633c7078
mnist_v1_sop0_subsop6 deployed at addr=0x02bc0f6b855285f33ecdc463c129a28a0bebdfe3190a3b05487210e9735821e6 with tx_hash=0x3ee9129eb1545a10a67d697d5c5c3b6187ca55a5e147df4ce9e128343c5e193
mnist_v1_sop0_subsop7 deployed at addr=0x071286845cf6fd31085746f5c29a887355822ccf4307a32d818c1f5e9f5c5901 with tx_hash=0x707a4bb5ab096cee8e3afeb73d04c9abdcce7150e8294de8cfaa31d11e5d7f9
mnist_v1_sop1 deployed at addr=0x02bbd0dd3072e67ba750310c53d8c0dc964ae2da8b9076ccd8b705952841e955 with tx_hash=0x7bb5380caacb22972e7ce0c5dc14a727aacae7f2f00a33d1e87c300e5758546
mnist_v1_sop1_subsop0 deployed at addr=0x04e8c364bb447b6fe6a8a4144d160dc40a8714c15016c3780a7df71b63c37bdd with tx_hash=0x2be04e572067dc0e407ce0a8bcc9db948add657a3b474f3175567b3d01db6e2
mnist_v1_sop1_subsop1 deployed at addr=0x0398ba2fc0844bab1758a23875cfa8f89707d1ead07297d9c103efe37d9fed8d with tx_hash=0x2c798a36d01fa7ecaba71690b1786dc1b0a62f0e8e217e3ceaf97d13af6d459
mnist_v1_sop1_subsop2 deployed at addr=0x03afa8c9379bb50dcaa0de58a982e3332f62da47b803e7aaba8463ffcda83723 with tx_hash=0x2abdb9b5eebda6941462c3838cda2251ae8924ba45391377370f9d0361a7a61
mnist_v1_sop1_subsop3 deployed at addr=0x0276e816257d52c92414fc8f838cee2b49b0070802b8f929c28aba163de8f749 with tx_hash=0x206588833ec5e850f2ab0d6ea00f9827f8b468444f9100f79ce563317dd3bbf
mnist_v1_sop1_subsop4 deployed at addr=0x0291888422204c7b704a20e0870b2ba032c762c910e042ecc960931b3da5158d with tx_hash=0x57897a9f3072ce0ee1a197dce06208bc121c18ba2fa8c86b21220c706890a5e
mnist_v1_sop1_subsop5 deployed at addr=0x0134ca44987ffc64d96df34ae753cbcedaff5e0c8ed251c4d6a37c01022a53b5 with tx_hash=0x16c92db16048d088383507afe98b9d4e9883ba3833b2f14f765aab55707e958
mnist_v1_sop1_subsop6 deployed at addr=0x0364e85e4d06e96cc98446e2ca82888f720fb96fea05d9e34f7aa36755614782 with tx_hash=0x62c10ac4b93025958e730887d89a70ddd5fcd7fdd01d10936ee265b607b3c8b
mnist_v1_sop1_subsop7 deployed at addr=0x02ef630821adcffc618a017aa0093f2636bc3a71cf1d709b69dd56e9a092427c with tx_hash=0x5981de55b6c727eeeaab03623a7ed79ba52efad415f9c7595a956bf9dbc41e3
mnist_v1_sop2 deployed at addr=0x0607f175764d4d93af70f6a7cf0c8e67e9c370cb5bafc6033cb19c88b0395b4a with tx_hash=0x6aad74c6ef18dfb7e904c0435c1126c44912e15d8cf08eff9480d23d34c79
mnist_v1_sop2_subsop0 deployed at addr=0x0666c52def6131994a2c65f09508addef0c7ab22b0ff3984cea80cb892b79a6e with tx_hash=0x49a5cf2c2c976972c17de4d040a2bc6be7d1b54a2121101a07540c79d302c36
mnist_v1_sop2_subsop1 deployed at addr=0x00a5eef129f7a3918c1b130adb6c25ecfb471cd3c55aa6fea89f82be670ed71d with tx_hash=0xc5f8cf0d6b408fccf4fe3f137ce520eab2254e03ee33d5d18f93afaf7e51a
mnist_v1_sop2_subsop2 deployed at addr=0x01096a229c9838f9a87623c923e584ed320bea20768f38f96d9b0b35be0389dd with tx_hash=0x148a815f7bdf2c0c52b99ed770472c8325ae8c3f98ef821bab20092a37894d0
mnist_v1_sop2_subsop3 deployed at addr=0x05737a9bbd5932c587ab05f05c898d3b04cd24470fffda0a2e97fb78d59b615c with tx_hash=0x524cfddfa49f2034bd8369937e1ea36e5a6be6416584f91dd784c01ba20e553
mnist_v1_sop2_subsop4 deployed at addr=0x04f19b56edeb274ac0d800a8f0178da4f5daffc85cd1167c5defea8f22efff41 with tx_hash=0xf7002616cc9d451da92ca7ddb4ca6e2ac9139d598375130262a874cd57dd5
mnist_v1_sop2_subsop5 deployed at addr=0x04f462e2f928c14a227a9eb7cfff8534991e251ffae516bf7329126d58d5cd60 with tx_hash=0x2898f04fe431e9f287ea31ce940fcfdcb1788f4bae3c32bc91b7de6892a7f42
mnist_v1_sop2_subsop6 deployed at addr=0x064457f012e79d02305a12da54ba8e58a01a2cbe977d6a2883a603e75da58a91 with tx_hash=0x84c98e21694de33b20a2980ceb76bb9c44624b316c834c3c730e73677ace2f
mnist_v1_sop2_subsop7 deployed at addr=0x07d0a34c55cb901f84cc0bf0c6f46890aa2920aee92ed8a5028ee26cf9dbfc68 with tx_hash=0x372932daa4f2fff0750413eff0844209a97e036fc16eb7073efe7ea447221da
mnist_v1_sop3 deployed at addr=0x047a7c2b8072a4cb0c51e840465b415b7bb4ba38d86fcb922e336fa27929a9eb with tx_hash=0x41ea54b26572c463e2062115b7d6d76e83b86c7d8db7a9e63affc6a3ba80d90
mnist_v1_sop3_subsop0 deployed at addr=0x055f058f0a33cbb94cffac9f7201b0d870b3797658b9d796acae384b51eff796 with tx_hash=0x49f5fd7f47eee4e2bb3872550c9866d17f27f8aef7304fb782ec425c35f191
mnist_v1_sop3_subsop1 deployed at addr=0x033e9acf5a7f93750d6e5bef738037ae53b30a2ab067f4c1f5cec520cd5a5c4f with tx_hash=0x2e0ed8aa040f318d68f51fe350cf5bbed5cf2b395f7fbe5984e821b2fe4c727
mnist_v1_sop3_subsop2 deployed at addr=0x002162f6cecc5398492516534f94c7209d0ccd43e13b6492b74a10cd8f13a250 with tx_hash=0x3f222fafeb80bdfe00c1ea832c7f24e05e8101d30c0eda223938369e85ad4ca
mnist_v1_sop3_subsop3 deployed at addr=0x00f1914f491370163f653f2b0654a90f27f0e76311b84969c257354ac7b1c27a with tx_hash=0x72252725035b859c721d90358093d00892e786aedb0f1b6f4aadb813a919e69
mnist_v1_sop3_subsop4 deployed at addr=0x06c646352ff52aec71ea9c184d999b1747ab748456f5ab28e2d488096587a939 with tx_hash=0x1f5d5db4b35b1991bf1b1e8684c74aa376606b79f576bbefe2cae4a252e5975
